lat,lon,cctv_count,police_count,transport_count,crime_official_count,crime_unofficial_count,safety_score,cluster,safety_score
12.94,80.24,4,0,0,0,0,35.209,0,0.486
12.94,80.25,3,0,3,0,0,38.157,0,0.53
12.94,80.26,0,0,0,0,0,35.0,0,0.483
12.94,80.27,0,0,0,0,0,35.0,0,0.483
12.94,80.28,0,0,0,0,0,35.0,0,0.483
12.94,80.29,0,0,0,0,0,35.0,0,0.483
12.94,80.3,0,0,0,0,0,35.0,0,0.483
12.94,80.31,0,0,0,0,0,35.0,0,0.483
12.94,80.32,0,0,0,0,0,35.0,0,0.483
12.95,80.0,0,0,0,0,0,35.0,0,0.483
12.95,80.01,0,0,0,0,0,35.0,0,0.483
12.95,80.02,0,0,0,0,0,35.0,0,0.483
12.95,80.03,0,0,0,0,0,35.0,0,0.483
12.95,80.04,1,0,0,0,0,35.052,0,0.484
12.95,80.05,0,0,0,0,0,35.0,0,0.483
12.95,80.06,0,0,0,0,0,35.0,0,0.483
12.95,80.07,0,0,0,0,0,35.0,0,0.483
12.95,80.08,0,0,0,0,0,35.0,0,0.483
12.95,80.09,0,0,0,0,0,35.0,0,0.483
12.95,80.1,0,0,0,0,0,35.0,0,0.483
12.95,80.11,0,0,0,0,0,35.0,0,0.483
12.95,80.12,0,0,0,0,0,35.0,0,0.483
12.95,80.13,0,0,0,1,1,23.333,0,0.31
12.95,80.14,62,0,0,0,0,38.235,0,0.531
12.95,80.15,5,0,0,0,0,35.261,0,0.487
12.95,80.16,0,0,0,0,0,35.0,0,0.483
12.95,80.17,2,0,0,0,0,35.104,0,0.484
12.95,80.18,5,0,0,0,0,35.261,0,0.487
12.95,80.19,1,0,0,0,0,35.052,0,0.484
12.95,80.2,5,0,6,0,0,41.261,0,0.576
12.95,80.21,1,0,3,0,0,38.052,0,0.528
12.95,80.22,0,0,0,0,0,35.0,0,0.483
12.95,80.23,0,0,0,0,0,35.0,0,0.483
12.95,80.24,10,1,0,0,0,55.522,2,0.787
12.95,80.25,0,0,0,0,0,35.0,0,0.483
12.95,80.26,1,0,0,0,0,35.052,0,0.484
12.95,80.27,0,0,0,0,0,35.0,0,0.483
12.95,80.28,0,0,0,0,0,35.0,0,0.483
12.95,80.29,0,0,0,0,0,35.0,0,0.483
12.95,80.3,0,0,0,0,0,35.0,0,0.483
12.95,80.31,0,0,0,0,0,35.0,0,0.483
12.95,80.32,0,0,0,0,0,35.0,0,0.483
12.96,80.0,0,0,0,0,0,35.0,0,0.483
12.96,80.01,0,0,0,0,0,35.0,0,0.483
12.96,80.02,0,0,0,0,0,35.0,0,0.483
12.96,80.03,0,0,0,0,0,35.0,0,0.483
12.96,80.04,0,0,0,0,0,35.0,0,0.483
12.96,80.05,0,0,0,0,0,35.0,0,0.483
12.96,80.06,0,0,0,0,0,35.0,0,0.483
12.96,80.07,0,0,0,0,0,35.0,0,0.483
12.96,80.08,0,0,0,0,0,35.0,0,0.483
12.96,80.09,0,0,0,0,0,35.0,0,0.483
12.96,80.1,0,0,0,0,0,35.0,0,0.483
12.96,80.11,0,0,0,0,0,35.0,0,0.483
12.96,80.12,1,0,0,0,0,35.052,0,0.484
